Parasite,Host
Ornithoica submicans,Accipitridae:Lophospiza trivirgata
Pseudolynchia canariensis,Rallidae:Amaurornis phoenicurus
Ornithophila metallica,Sturnidae:Aplonis panayensis
Ornithophila metallica,Sturnidae:Aplonis panayensis
Ornithophila metallica,Sturnidae:Aplonis panayensis
Ornithophila metallica,Sturnidae:Aplonis panayensis
Pseudolynchia garzettae,Caprimulgidae:Caprimulgus macrurus
Ornithoica bistativa,Alcedinidae:Ceyx erithaca
Icosta plana,Columbidae:Chalcophaps indica
Icosta plana,Columbidae:Chalcophaps indica
Pseudolynchia canariensis,Columbidae:Columba livia
Pseudolynchia canariensis,Columbidae:Columba livia
Pseudolynchia canariensis,Columbidae:Columba livia
Pseudolynchia canariensis,Columbidae:Columba livia
Ornithophila metallica,Corvidae:Corvus splendens
Pseudolynchia canariensis,Ardeidae:Egretta garzetta
Pseudolynchia canariensis,Cuculidae:Eudynamys scolopaceus
Ornithophila metallica,Coraciidae:Eurystomus orientalis
Pseudolynchia canariensis,Falconidae:Falco peregrinus
Icosta maquilingensis,Phasianidae:Gallus gallus
Icosta maquilingensis,Phasianidae:Gallus gallus
Icosta holoptera,Rallidae:Lewinia striata
Ornithophila metallica,Estrildidae:Lonchura maja
Icosta sensilis,Estrildidae:Lonchura punctulata
Icosta sensilis,Estrildidae:Lonchura punctulata
Pseudolynchia canariensis,Strigidae:Ninox japonica
Ornithoica bistativa,Oriolidae:Oriolus chinensis
Ornithoica bistativa,Oriolidae:Oriolus chinensis
Ornithophila metallica,Oriolidae:Oriolus chinensis
Ornithophila metallica,Oriolidae:Oriolus chinensis
Ornithoica bistativa,Pittidae:Pitta moluccensis
Ornithoica bistativa,Pittidae:Pitta moluccensis
Ornithoica bistativa,Pittidae:Pitta moluccensis
Ornithophila metallica,Pittidae:Pitta moluccensis
Ornithophila metallica,Pittidae:Pitta moluccensis
Icosta holoptera,Rallidae:Rallina fasciata
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Treron vernans
Pseudolynchia canariensis,Columbidae:Treron vernans
Pseudolynchia canariensis,Columbidae:Treron vernans
Pseudolynchia maai,Columbidae:Treron vernans
Pseudolynchia maai,Columbidae:Treron vernans
Pseudolynchia maai,Columbidae:Treron vernans
Pseudolynchia maai,Columbidae:Treron vernans
