,"244-Tanjong-Katong-Rd_1.3062918,103.8958113_20Feb2020_Columba-livia","401-Choa-chu-kang-avenue-3_1.3784066,103.7366966_19Jun2015_Aplonis-panayensis","6-Walmer-Drive_1.3641362,103.8650515_15Oct2018_Ceyx-erithaca","611-Elias-Road_1.3751382,103.940263_20Jan2019_Oriolus-chinensis","89-Gardenia-Road_1.354371,103.8253519_06Feb2018_Pitta-moluccensis","9-Tan-Boon-Chong-ave_1.315254,103.788179_26May2019_Eurystomus-orientalis","Blk-14-Toh-Yi-Drive_1.338580,103.775300_20Mar2015_Accipiter-trivirgatus","Blk-565-Choa-Chu-Kang-St.-52_1.3952778,103.7455556_02Apr2017_Lewinia-striata","Depot-road_1.2815816,103.8076418_27Mar2015_Oriolus-chinensis","Devonshire-Rd_1.298634,103.837396_13Nov2018_Pitta-moluccensis","Jalan-Mempurong_1.4590975,103.841095_21Oct2018_Lonchura-punctulata","Jurong-Bird-Park_1.3200634,103.7033733_02Dec2021_Rallina-fasciata",NA_NA_06Oct2017_Eudynamys-scolopaceus,NA_NA_08Aug2018_Treron-vernans,NA_NA_11Jul1905_Egretta-garzetta,NA_NA_14Jul2020_Oriolus-chinensis,NA_NA_16Mar2015_Columba-livia,NA_NA_2019_Amaurornis-phoenicurus,NA_NA_20Nov2018_Chalcophaps-indica,NA_NA_22Apr2020_Falco-peregrinus,NA_NA_27Jul2018_Treron-vernans,NA_NA_NA-(2012-2019)_Caprimulgus-macrurus,NA_NA_NA-(2012-2019)_Corvus-splendens,NUS-Kent-ridge-Campus_NA_05Feb2018_Lonchura-maja,"NUS-KEVII-hall_1.292132,103.781308_09Sep2014_Aplonis-panayensis","Plaza-Singapura_1.3001241,103.8458018_29May2018_Treron-vernans",Sin-Ming-Housing-Estate_NA_20Apr2022_Gallus-gallus1,Sin-Ming-Housing-Estate_NA_20Apr2022_Gallus-gallus2,"Singapore-Varsity-Park_1.2943754,103.7667509_16Apr2017_Chalcophaps-indica","Telepark_1.353826,103.942414_30Apr2019_Treron-vernans","Ulu-Pandan-Road,Pine-Grove-Condo,-Clementi_1.3190663,103.7732965_03Jun2020_Treron-vernans","Ulu-Pandan-Road,Pine-Grove-Condo,-Clementi_1.3190663,103.7732965_25Feb2021_Spilopelia-chinensis","Ulu-Pandan-Road,Pine-Grove-Condo,-Clementi_1.3190663,103.7732965_28Mar2021_Spilopelia-chinensis","Utown,-NUS_1.304755,103.773741_17Apr2018_Treron-vernans",Western-Singapore_NA_02Feb2018_Pitta-moluccensis,Wildlife-Reserves-Singapore_NA_19Mar2020_Ninox-japonica
Pseudolynchia_canariensis,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Icosta_holoptera,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithophila_metallica,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0
Pseudolynchia_new,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,6,3,1,0,0
Ornithoica_bistativa,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icosta_plana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Icosta_maquilingensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ornithoica_submicans,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icosta_sensilis,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudolynchia_garzettae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
